,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
64,,@user-fy8ob6bi2k,"2024-04-08 02:25:03",1,no,no,"Bro thought he was gonna make the best dark matter edit and thought we would know❤😂",UCp_M-RmQwSGDkvUfrokIooA,Ugwv79rtfnB_TYaymPp4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugwv79rtfnB_TYaymPp4AaABAg
65,,@mariavalentinahueteguillen4758,"2024-04-08 02:43:14",0,no,no,"Bro imagine a machine that can control dark energy like they send a nuclear bomb the relpulsive gravity could send send it into another place.",UCUJS1iUolHpYrHwYQKmiW_Q,Ugyk_RWIAsbpB8iavxx4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugyk_RWIAsbpB8iavxx4AaABAg
66,,@Trixy_exe,"2024-04-08 05:52:40",0,no,no,"Hollow purple?",UCCBoPObP8qfDWyqudjFs8vA,Ugwg7w-8q_0ucKPWx9h4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugwg7w-8q_0ucKPWx9h4AaABAg
67,,@anupsharma9205,"2024-04-08 06:04:35",0,no,no,"Mahakal
Kal- dark",UC8w612cYvj9pjbB3gwIk2zA,UgyQbBCWT4oD38zCBBJ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgyQbBCWT4oD38zCBBJ4AaABAg
68,,@Real1Boomxhy,"2024-04-08 07:03:49",1,no,no,Sakuna,UCZw_TJyIXMP5wNo-Z61jr6Q,Ugy8w2fGtbLMVLnezB54AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugy8w2fGtbLMVLnezB54AaABAg
69,,@Theabyss456,"2024-04-08 09:29:20",0,no,no,"Cursed Technique Blue :- Dark matter
Reverse Cursed Technique Red:- Dark Energy",UCC-SySvprtB2zEmatdnH1gA,UgztUN1YGbZWqsNY8n14AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgztUN1YGbZWqsNY8n14AaABAg
70,,@E.b.0,"2024-04-08 14:04:28",0,no,no,"This is Allahs power dont worry  about it 👆🏻",UCcZMhNKu_w7yxziuaOet4DA,Ugwj6KCx20i6mwxcAqp4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugwj6KCx20i6mwxcAqp4AaABAg
71,,@Tyrranacraftplay44,"2024-04-09 04:08:58",0,no,no,Song?,UC6kurb9Av0DoVTZKFKjtVdA,UgwEyaa7GJ0GhZW7aH54AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwEyaa7GJ0GhZW7aH54AaABAg
72,,@demonboyzgamingyt4749,"2024-04-09 06:21:34",0,no,no,"Hollow purple😂😂",UC957QEIsPXGhuPHhN5sgn6Q,UgzPbkrG0-UbZD1MH3t4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzPbkrG0-UbZD1MH3t4AaABAg
73,,@tachi6786,"2024-04-09 10:27:06",1,no,no,"Throughout the ages heaven and earth I am supreme",UCg862vxwIHkGGhaPOJ6pwaw,UgxQv6sxpC_d4Y_Nip14AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxQv6sxpC_d4Y_Nip14AaABAg
74,,@blackvampire6094,"2024-04-09 15:13:12",1,no,no,"Bro dropped the hardest edit ever 🗿🌌",UCRW37ng3zfLleK-IsSQAzpQ,UgxKNAW6IoVaZwpNzT94AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxKNAW6IoVaZwpNzT94AaABAg
75,,@anpro7147,"2024-04-10 09:30:06",0,no,no,"The universe being gojo now 💀",UC1MU0n2q86VAjyJM__SgNeQ,Ugyb1CHgE_8v6kWzrNF4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugyb1CHgE_8v6kWzrNF4AaABAg
76,,@anpro7147,"2024-04-10 11:41:17",0,no,no,"Bro just explained blue and red from gojo",UC1MU0n2q86VAjyJM__SgNeQ,UgxYwvSZY6xKiWLOEV14AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxYwvSZY6xKiWLOEV14AaABAg
77,,@chessmaster1278,"2024-04-10 17:12:11",0,no,no,"Guys : I i i Will one day before 2040 master the art of matter,dark,anti matter manipulation. I promise I won't tell yakuza and kim or we'll end up dead❤😂",UCte3EtvO89ODeA__5lFQ5tg,UgyHluPCFLkV_2AAdVh4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgyHluPCFLkV_2AAdVh4AaABAg
78,,@Heaven351,"2024-04-10 18:40:19",1,no,no,"He : Dark not as in night 
Also He : dark because it does not interact with light 😂😂",UCyRiqLyMgEdtypVrhNh1AKQ,UgxC5yF7-izOrNKocpx4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgxC5yF7-izOrNKocpx4AaABAg
79,,@shahzaibwarriach9365,"2024-04-10 22:05:07",0,no,no,"And we have Allah who made all of the things",UCS3nd9PDmaefPrA_zeVO6ow,UgwdhOJnFaiIHw1n_dp4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwdhOJnFaiIHw1n_dp4AaABAg
80,,@Nawrinthasbeeha,"2024-04-11 06:54:27",0,no,no,"""Throughout the heaven and earth I alone am the honoured one""",UCPotSmklMcVCG6v1rN-HtLg,UgzXopYhRHZx72bygL54AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzXopYhRHZx72bygL54AaABAg
81,,@joyuwaekwe7788,"2024-04-11 10:47:06",0,no,no,"What happens when they mix it forms an imaginary image an imaginary technique if I do say so myself",UCxzHwI9hsGndymasuV-85Mg,UgwgsYwaBGS_cqpYQfh4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgwgsYwaBGS_cqpYQfh4AaABAg
82,,@Xtroll.plays.,"2024-04-11 13:25:38",1,no,no,"I smell gojo here..",UCr8YutRorsifmy2oPC-PDhQ,UgyEhGTrRuf2aZ7A3_p4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgyEhGTrRuf2aZ7A3_p4AaABAg
83,,@froghoproblox,"2024-04-11 14:54:36",0,no,no,"Someone used there cursed technique",UC3w5Ujv8EkJo_09mVcSbJzw,UgzxwWstAKRgR98IcVJ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=UgzxwWstAKRgR98IcVJ4AaABAg
84,,@user-nu8oy7gp2r,"2024-04-11 21:57:08",0,no,no,"Is dark matter faster than light speed",UC3fay828KicJbco8RLOe88g,Ugzj9j9Ij-VNAJfmQJJ4AaABAg,https://www.youtube.com/watch?v=aoe6BC6TZMg&lc=Ugzj9j9Ij-VNAJfmQJJ4AaABAg
