Exported by,ExportComments.com,,,,,,,
Source URL,https://youtube.com/shorts/PVbGO_SdyPs?si=dUapxM6k3Vh_lMGO,,,,,,,
Timezone,,,,,,,,
,,,,,,,,
Some Comments may not appear here because of their privacy settings,,,,,,,,
,,,,,,,,
,,Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
113,,@shuffleJizztification,21/06/23 00:38:59,0,no,no,Bhakk xhewtiya samjha hai kya? Kisi gore ne english to hindi karke text to speech Kiya hai..,view comment
114,,@deepakjoshi664,21/06/23 01:35:33,0,no,no,Rigved-Purush sukta- 25% of world is known and rest 75% is unknown.,view comment
115,,@sureshzalte1979,21/06/23 02:17:50,0,no,no,????? ??? ?? ?? ???? ???? ????? ???? ?????,view comment
116,,@priyeshpatel4382,21/06/23 03:15:33,0,no,no,"Astronaut nahi sale bewakoof, astronomer hota hai. Mulla na adha bhara na adha khali",view comment
117,,@ASTROindi,21/06/23 03:20:54,0,no,no,Astronomer not astronaut,view comment
118,,@CRAZY-HAAP,21/06/23 04:20:38,0,no,no,Dark matter is nothing but matter which has jumped into 5d Or 5th dimension,view comment
119,,@sigma76763,21/06/23 04:46:28,0,no,no,"Bruh this is not your content its of a youtuber astrokobi
At least give credit to him",view comment
120,,@user-cj3zw8zs3l,21/06/23 04:56:10,0,no,no,?? kala jadu tona karte raho,view comment
121,,@shivanksinghraghu8784,21/06/23 05:48:41,0,no,no,Ese kitne badi h Bhai pura brahmand jai jagannath,view comment
122,,@RandomLifeBOXING,21/06/23 05:49:57,0,no,no,Atharva veda me sab Diya hai chomu,view comment
123,,@vedik_knowledge,21/06/23 06:00:05,1,no,no,??? ???? ?? ????? ???? ??...,view comment
124,,@MindYourChart,21/06/23 06:22:07,0,no,no,Copy paste YouTube channel,view comment
125,,@XxLuciferzZ,21/06/23 08:57:17,0,no,no,Nt invisible bt in higher dimension or lower,view comment
126,,@user-cc9js3uu1n,21/06/23 09:07:22,0,no,no,Black holl me 3 sall pahle gaya tha ab vo bahar a raha he fatu video bana ne se pahle kuch jankari nikal lo mera koi chenal nhi he na bana na chata hu bas toda pad lo fir logo tak batao,view comment
127,,@abvidsgadgets,21/06/23 12:38:16,0,no,no,vishnu ke varah avatar ne prithwi jo paani se nikaali thi thats nothing but dark flow,view comment
128,,@usamarajputusamarajput5769,21/06/23 13:37:32,0,no,no,Pehly kashmir ka masla hal kro phir tumhry scientist ko b like kr day gy,view comment
129,,@retiregamingff8127,21/06/23 15:14:36,0,no,no,Dark matter 23% h aur dark energy 73%,view comment
130,,@siddharthapte5030,21/06/23 15:15:16,0,no,no,"THIS IS JUST SPECULATION.
WE DO NOT KNOW FULLY ABOUT EVEN  THE JUPITOR.",view comment
131,,@fairyprincess2084,21/06/23 15:43:30,0,no,no,Jahan tk n jao gy Allah tk he pohancho gy,view comment
132,,@himanshushukla67,21/06/23 16:12:08,0,no,no,"?????? ??? ????????? ????? ??? ?????? ?? ??? 3 ??? ???????? ?? ????? ??? 
??????( ????? ???? ) ?? ????????? ????? ??? ??? ?????? ?? ????? ??? ?
 ????? ?? ???? ?? ???? ?? ??? ?????? ??? ?????? ???? ??? ?????? ???? ??? ?? ??? ?? ????? ???? ??? ????? ??? ??? ??? ?????? ????",view comment
133,,@Fatusbeergutus,21/06/23 16:23:32,0,no,no,This is equivalent to being ricky rolled in 2023,view comment
134,,@mathsforcompetitiveandscho3189,21/06/23 16:46:49,0,no,no,????????,view comment
135,,@panwarpangy,21/06/23 16:51:47,0,no,no,Goodwork. Give some calculations?,view comment
136,,@umangcshorts,21/06/23 17:16:06,1,no,no,ye koi insan ki avaz nahi hai AI ki avaz hai,view comment
137,,@vimalaryan007,21/06/23 17:20:14,0,no,no,Voice ..pasand nhi aayi ..aisa lg raha hai dubing,view comment
